player,Team,Format,matches,Innings,NO,runs,average,strike_rate,HS,100s,50s,batting_position,image_url,role
Babar Azam,Pakistan,Odi,134,131,15,6291,54.23,87.63,158,19,37,3,https://s.yimg.com/zb/imgv1/189cf044-0697-3c96-bb0d-9b3b70d10970/t_500x300 ,Batsman
Virat Kohli,India,Odi,302,290,45,14181,57.88,93.34,183,51,74,3,https://tse3.mm.bing.net/th/id/OIP.VwUIxemJi5aTGBAatvD57AHaE4?pid=Api&P=0&h=220 ,Batsman
Rohit Sharma,India,Odi,273,265,36,11168,48.76,92.80,264,32,58,1,https://s.yimg.com/zb/imgv1/6eef5da6-4f23-3564-b2ef-47a50f6337c4/t_500x300 ,Batsman
Kane Williamson,NewZeland,Odi,173,165,18,7235,49.21,81.72,148,15,47,4,https://tse3.mm.bing.net/th/id/OIP.-8NBj1JgirQtv5o46gUukQAAAA?pid=Api&P=0&h=220 ,Batsman
Joe Root,England,Odi,183,172,24,7301,49.33,87.76,166*,19,43,4,https://wallpapers.com/images/hd/joe-root-portrait-31krp0eo0xyw2om5.jpg ,Batsman
Rayan Rickelton,South Africa,Odi,15,15,1,454,32.42,86.97,103,1,1,2,https://img1.hscicdn.com/image/upload/f_autot_ds_w_1200/lsci/db/PICTURES/CMS/345900/345935.jpg ,Batsman
Phil Salt,England,Odi,33,31,0,988,31.87,114.75,122,1,5,1,https://ichef.bbci.co.uk/ace/standard/3840/cpsprodpb/443b/live/496ab100-1d9b-11ef-a090-6b563b2f66e3.jpg ,Batsman
Fakhar Zaman,Pakistan,Odi,86,85,6,3651,46.21,93.85,210*,11,17,2,https://assets.khelnow.com/news/uploads/2025/02/Fakhar-Zaman-ODI.jpg ,Batsman
Saim Ayub,Pakistan,Odi,12,12,1,543,49.36,101.68,113*,3,1,2,https://mbmaliksports.com/wp-content/uploads/2024/07/Saim-Ayub-Sliver-BG.webp ,Batsman
Imam ul Haq,Pakistan,Odi,75,74,73,152,47.04,81.95,151,9,20,2,https://tse3.mm.bing.net/th/id/OIP.3DdY3bmehByBikVY-Fd-DwHaHa?pid=Api&P=0&h=220 ,Batsman
