player,Team,Format,matches,Innings,runs,wickets,average,bowling_average,bowling_strike_rate,economy,batting_position,5 wkts,image_url,role,strike_rate,100s,50s
Harshit Rana,India,Odi,8,8,38.0,16,19.0,20.75,21.3,5.82,9,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/405500/405504.jpg",fast-bowler,0.0,0.0,0.0
Arshdeep Sing,India,T20,67,67,262,11.39,105,18.59,13.3,8.36,10,0,"",fast-bowler
Arshdeep Sing,India,Odi,11,10,52.0,17,7.42,23.17,26.6,5.21,10,1,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/404000/404024.jpg",fast-bowler,0.0,0.0,0.0
Muhammad Sairaj,India,Odi,47,46,55.0,73,7.85,24.67,28.6,5.17,11,1,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/407600/407683.jpg",fast-bowler,0.0,0.0,0.0
Mitchell Starc,Australia,Odi,130,130,583.0,247,11.66,23.58,26.8,5.26,9,9,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/402700/402778.jpg",fast-bowler,0.0,0.0,0.0
Josh Hazlewood,Australia,Odi,76,143,565,295,11.53,24.21,52.2,2.77,10,13,"",fast-bowler
Josh Hazlewood,Australia,Odi,60,59,29,9.66,79,21.26,17.0,7.47,10,0,"",fast-bowler
Josh Hazlewood,Australia,Odi,95,94,135.0,142,15.0,27.66,35.0,4.73,10,3,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/405400/405467.png",fast-bowler,0.0,0.0,0.0
Nathan Ellis,Australia,Odi,30,30,30,47,6.00,18.14,13.7,7.92,11,0,"",fast-bowler
Nathan Ellis,Australia,Odi,17,17,106.0,18,13.25,43.27,46.5,5.58,11,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/404400/404422.jpg",fast-bowler,0.0,0.0,0.0
Fazal Haq Farooqui,Afghanistan,T20,51,51,17,63,5.66,19.77,17.1,6.93,10,1,"",fast-bowler
Fazal Haq Farooqui,Afghanistan,Odi,42,42,21.0,52,3.5,33.5,34.1,5.88,11,0,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1200,q_50/lsci/db/PICTURES/CMS/395000/395009.jpg",fast-bowler,0.0,0.0,0.0
