player,Team,Format,matches,Innings,NO,runs,wickets,average,bowling_average,strike_rate,HS,100s,50s,batting_position,image_url,role,economy,total_balls_faced,total_overs_bowled,total_runs_conceded,total_fours,total_sixes,total_catches
Abhishek Sharma,India,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Ishan Kishan,India,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Rinku Sing,India,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Sanju Samson,India,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Tilak Verma,India,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Surya Kumar Yadav,India,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Jasprit Bumrah,India,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Varun Chakravarthy,India,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Arshdeep Sing,India,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Harshit Rana,India,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Kuldeep Yadav,India,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Axar Patel,India,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Hardik Pandya,India,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Washington Sundar,India,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Shivam Dube,India,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Jan Balt,Namiba,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Malan Kruger,Namiba,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Zane Green,Namiba,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Dylan Leicher,Namiba,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Louren Steenkamp,Namiba,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Jan Frylinck,Namiba,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
JJ Smit,Namiba,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Jan Nicol Loftie-Eaton,Namiba,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Gerhard Erasmus,Namiba,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Ben Shikongo,Namiba,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Bernard Scholtz,Namiba,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Ruben Trumpelmann,Namiba,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Max Heingo,Namiba,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Jack Brassell,Namiba,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Willem Myburgh,Namiba,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Max ODowd,Netherlands,T20,1,1,0,5,0,5.0,,71.43,5,0,0,0,0.0,,0.0,7,0.0,0,0,0,0
Bas de Leede,Netherlands,T20,1,1,0,30,0,30.0,,120.0,30,0,0,0,0.0,,8.67,25,1.5,13,4,0,0
Scott Edward,Netherlands,T20,1,1,0,37,0,37.0,,127.59,37,0,0,0,0.0,,0.0,29,0.0,0,3,1,2
Noah Croes,Netherlands,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Michael Levitt,Netherlands,T20,1,1,0,24,0,24.0,,160.0,24,0,0,0,0.0,,0.0,15,0.0,0,3,1,1
Saqib Zulfiqar,Netherlands,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Roelof van der Merwe,Netherlands,T20,1,1,0,4,2,4.0,13.0,44.44,4,0,0,0,0.0,,4.33,9,6.0,13,0,0,2
Zach Lion-Cachet,Netherlands,T20,1,1,0,9,0,9.0,,112.5,9,0,0,0,0.0,,0.0,8,0.0,0,1,0,0
Fred Klaassen,Netherlands,T20,0,0,0,0,0,0.0,,0.0,0,0,0,0,0.0,,0.0,0,0.0,0,0,0,0
Aryan Dutt,Netherlands,T20,1,1,0,13,2,13.0,16.5,162.5,13,0,0,0,0.0,,8.25,8,4.0,33,2,0,0
Logan van Beek,Netherlands,T20,1,1,0,0,1,0.0,46.0,0.0,0,0,0,0,0.0,,11.5,1,4.0,46,0,0,0
