player,year,Format,matches,innings,NO,runs,HS,average,SR,100s,50s
Babar Azam,2015,Odi,7,7,1,230,62*,38.33,89.14,0,3
Babar Azam,2016,Odi,11,11,0,656,123,59.63,95.21,3,2
Babar Azam,2017,Odi,18,17,4,872,125*,67.07,79.27,4,2
Babar Azam,2018,Odi,818,17,3,509,106*,36.35,81.18,1,2
Babar Azam,2019,Odi,20,20,2,1092,115,60.66,92.30,3,6
Babar Azam,2020,Odi,3,3,1,221,125,110.50,101.84,1,1
Babar Azam,2021,Odi,6,6,0,405,158,67.50,108.00,2,1
Babar Azam,2022,Odi,9,9,1,679,114,84.87,90.77,3,5	
Babar Azam,2023,Odi,25,24,1,1065,151,46.30,84.65,2,10
Babar Azam,2024,Odi,6,6,2,228,73,57.00,76.51,0,2
Babar Azam,2025,Odi,11,11,0,334,78,30.36,78.40,0,3
Virat Kholi,2008,Odi,5,5,0,159,54,31.80,66.52,0,1
Virat Kholi,2009,Odi,10,8,2,325,107,54.16,84.41,1,2
Virat Kholi,2010,Odi,25,24,3,995,118,47.38,85.11,3,7
Virat Kholi,2011,Odi,34,34,5,1381,117,47.62,85.56,4,8
Virat Kholi,2012,Odi,17,17,2,1026,183,68.40,93.78,5,3
Virat Kholi,2013,Odi,34,30,6,1268,115*,52.83,97.53,4,7
Virat Kholi,2014,Odi,21,20,2,1054,139*,58.55,99.62,4,5
Virat Kholi,2015,Odi,20,20,3,623,138,36.64,80.59,2,1
Virat Kholi,2016,Odi,10,10,2,739,154*,92.37,100.00,3,4
Virat Kholi,2017,Odi,26,26,7,1460,131,76.84,99.11,6,7
Virat Kholi,2018,Odi,14,14,5,1202,160*,133.55,102.55,6,3
Virat Kholi,2019,Odi,26,25,2,1377,123,59.86,96.36,5,7
Virat Kholi,2020,Odi,9,9,0,431,89,47.88,92.29,0,5
Virat Kholi,2021,Odi,3,3,0,129,66,43.00,86.57,0,2
Virat Kholi,2022,Odi,11,11,0,302,113,27.45,87.03,1,2
Virat Kholi,2023,Odi,27,24,5,1377,166*,72.47,99.13,6,8
Virat Kholi,2024,Odi,3,3,0,58,24,19.33,84.05,0,0
Virat Kholi,2025,Odi,7,7,1,275,100*,45.83,84.35,1,2
Rohit Sharma,2007,Odi,4,3,0,61,52,20.33,82.43,0,1
Rohit Sharma,2008,Odi,28,28,7,532,70*,25.33,72.57,0,3
Rohit Sharma,2009,Odi,9,7,3,102,3*,25.50,65.80,0,0
Rohit Sharma,2010,Odi,15,14,1,504,114,38.76,86.00,2,1	
Rohit Sharma,2011,Odi,16,16,5,611,95,55.54,82.67,0,6
Rohit Sharma,2012,Odi,14,13,0,168,68,12.92,66.93,0,1
Rohit Sharma,2013,Odi,28,27,4,1196,209,52.00,80.81,2,8
Rohit Sharma,2014,Odi,12,12,1,578,264,52.54,94.29,1,3
Rohit Sharma,2015,Odi,17,17,1,815,150,50.93,95.43,3,4
Rohit Sharma,2016,Odi,10,10,1,564,171*,62.66,95.27,2,2
Rohit Sharma,2017,Odi,21,21,3,1293,208*,71.83,99.46,6,5
Rohit Sharma,2018,Odi,19,19,5,1030,162,73.57,100.09,5,3
Rohit Sharma,2019,Odi,28,27,1,1490,159,57.30,89.92,7,6
Rohit Sharma,2020,Odi,3,3,0,171,119,57.00,91.44,1,0
Rohit Sharma,2021,Odi,3,3,0,90,37,30.00,86.53,0,0
Rohit Sharma,2022,Odi,8,8,2,249,76*,41.50,114.22,0,3
Rohit Sharma,2023,Odi,27,26,2,1255,131,52.29,117.07,2,9
Rohit Sharma,2024,Odi,3,3,0,157,64,52.33,141.44,0,2
Rohit Sharma,2025,Odi,8,8,0,302,119,37.75,108.24,1,1
