player,year,Format,matches,innings,NO,runs,HS,average,SR,100s,50s
Babar Azam,2015,Odi,7,7,1,230,62*,38.33,89.14,0,3.0
Babar Azam,2016,Odi,20,25,4,1063,123,50.61,78.39,3,5.0
Babar Azam,2017,Odi,34,39,6,1408,125*,42.66,74.41,4,5.0
Babar Azam,2018,Odi,38,43,9,1688,127*,49.64,76.62,2,14.0
Babar Azam,2019,Odi,36,41,5,2082,115,57.83,90.2,6,13.0
Babar Azam,2020,Odi,15,15,3,835,143,69.58,85.9,2,7.0
Babar Azam,2021,Odi,43,45,2,1760,158,40.93,89.38,3,14.0
Babar Azam,2022,Odi,44,52,4,2598,196,54.12,74.24,8,17.0
Babar Azam,2023,Odi,35,37,2,1399,151,39.97,81.1,3,10.0
Babar Azam,2024,Odi,35,39,3,1168,75,32.44,91.75,0,9.0
Babar Azam,2025,Odi,30,35,3,1065,102*,33.28,72.54,1,8.0
Virat Kholi,2008,Odi,5,5,0,159,54,31.80,66.52,0,1.0
Virat Kholi,2009,Odi,10,8,2,325,107,54.16,84.41,1,2.0
Virat Kholi,2010,Odi,27,25,4,1021,118,48.61,85.79,3,7.0
Virat Kholi,2011,Odi,43,47,5,1644,117,39.14,76.85,4,10.0
Virat Kholi,2013,Odi,43,43,7,1913,119,53.13,78.11,6,10.0
Virat Kholi,2014,Odi,38,47,6,2286,169,55.75,83.27,8,12.0
Virat Kholi,2015,Odi,31,37,3,1307,147,38.44,65.84,4,3.0
Virat Kholi,2016,Odi,37,41,11,2595,235,86.50,80.91,7,13.0
Virat Kholi,2017,Odi,46,52,11,2818,243,68.73,92.15,11,10.0
Virat Kholi,2018,Odi,37,47,7,2735,160*,68.37,72.39,11,9.0
Virat Kholi,2019,Odi,44,46,8,2455,254*,64.60,90.55,7,14.0
Virat Kholi,2020,Odi,22,24,1,842,89,36.60,87.89,0,7.0
Virat Kholi,2021,Odi,24,30,4,964,80*,37.07,60.62,0,10.0
Virat Kholi,2022,Odi,37,42,7,1348,122*,38.51,85.102,11,
Virat Kholi,2023,Odi,35,36,5,2048,186,66.06,78.31,8,10.0
Virat Kholi,2024,Odi,23,32,2,655,100*,21.83,73.34,1,2.0
Virat Kholi,2025,Odi,14,15,3,674,135,56.16,88.91,3,4.0
Virat Kholi,India,Odi,2,2,0,116,93,58.00,96.66,0,1.0
Rohit Sharma,2007,Odi,9,6,3,149,52,49.66,110.37,0,2.0
Rohit Sharma,2008,Odi,29,29,7,540,70*,24.54,72.87,0,3.0
Rohit Sharma,2009,Odi,17,15,4,247,52*,22.45,86.97,0,1.0
Rohit Sharma,2010,Odi,20,18,3,598,114,39.86,91.29,2,2.0
Rohit Sharma,2011,Odi,19,19,5,691,95,49.35,86.48,0,7.0
Rohit Sharma,2012,Odi,27,22,4,284,68,15.77,83.52,0,2.0
Rohit Sharma,2013,Odi,33,34,5,1537,209,53.00,76.16,4,8.0
Rohit Sharma,2014,Odi,23,28,3,1015,264,40.60,77.65,1,6.0
Rohit Sharma,2015,Odi,26,32,1,1269,150,40.93,78.62,4,7.0
Rohit Sharma,2016,Odi,33,35,4,1349,171*,43.51,95.06,2,9.0
Rohit Sharma,2017,Odi,32,33,5,1793,208*,64.03,100.95,8,8.0
Rohit Sharma,2018,Odi,42,45,8,1804,162,48.75,99.22,7,7.0
Rohit Sharma,2019,Odi,47,47,1,2442,212,53.08,91.28,10,10.0
Rohit Sharma,2020,Odi,7,7,1,311,119,51.83,111.07,1,2.0
Rohit Sharma,2021,Odi,25,35,2,1420,161,43.03,62.69,2,9.0
